Text;Status
Cctv etilang dimananya teh;negatif
siap nerobos etilang;positif
Ok infonya tapi kurang jelas Jam berapa mulai ganjil jam berapa mulai genap Kok tiba dapet surat ETIlang kasih tau dulu lah biar kita macetkan pantura saja kalo ada ganjil genap;positif
Mgkin kenaikan pajak atw ad denda etilang;positif
Eh trs pake etilang buset org mudik dirampok juga maaf bgt gue emosi;positif
Ribet bgt ngurus etilang;positif
Sekarang saja di perempatan Asalamah sama bangjo alun alun lama ada cctv etilang Mending pake helm kata aku;positif
Apalagi semenjak ada etilang kan;positif
ada yang pernah kena etilang tapi salah gak;negatif
Ga komplen bang kena etilang tapi gak ada suratnya kerumah;positif
Khusus jakarta ya app nya saya bukan di jakarta Itu di app nya ada keteranganny mas kalau terblokir karna etilang;negatif
Usahakan jalan di sudirman sampai kefoto etilang;positif
Dirimu dari arah mana juju  Perasaan etilang tidak diberlakukan;positif
Ngga bisa pake seatbelt itu woyy Kalau kejepret eTilang gimana;negatif
hidup lagi seru serunya diingetin harus bayar etilang;positif
Udah keliatan kok pak dari dulu penegakan hukum emang kurang contohnya buang sampah sembarangan penerapan etilang bukannya pengendaranya jadi tertib malah plat nomornya pada diganti;positif
antrian itu akibat dari hukum yang berlaku antrian tak hanya berkendara tapi dalam banyak hal selama bisa menyuap maka antrian tak berlaku andaisemua motor di indonesia berbaris dijalur mobil seberapa panjang kemacetan etilang saja nggak berlaku buktinya banyak penerobos;positif
Jangan Nyusahin mobil ceper dan bis low deck itu Kan nggak 24 atau 7 orang nyebrang jalan Gw lebih seneng biaya parkir naik 10x lipat etilang dibanyakin dan dendanya buat 4x lipat Ujian SIM dibenahin;positif
ngecek etilang gimana weh muter mulu;negatif
cara cek etilang bagaimana ya;negatif
Etilang sudah berlaku Kalau kamera yang menetap sudah ada di beberapa titik;positif
yangbegini bukan malah ngasih kerjaan orang jagain jalur TJ buka tutup portal doang Kasih Etilang disetiap palang jalur TJ lampu merah semua muanya dah;positif
Etilang say hello ntr;positif
hati hati kena etilang 500k lumayan;positif
batu bgt dah ada etilang tapi kagapernah pake helm gw;negatif
Min klo plat palsu gitu dipakai orang lain melanggar lalulintas lalu kena etilang yang punya plat asli apa kabarnya ya min Apa yg kena tilang nantinya adalah yang punya plat asli Berarti tilang elektronik salah sasaran dong Mohon dijawab Thanks;positif
nerobos jalur busway disitu jadi angkutan umum juga mandet solusi buat saat ini yg dilakuin disitu udah ada etilang sih barubaru aja btw gua juga bukan pendukung 01 gua golput dari beberapa periode tapi gua amaze aja sama yang dia lakuin daripada milih anak nepotisme thx;positif
Biasanya buat ngakalin ganjil genap tpi yg ini agak laen memang Genap Genap mungkin buat ngakalin etilang;positif
kalo gue dulu itu kena etilang jadi  ada surat aja dateng ke rumah;positif
enaknya di kirimin apk etilang sih biar terkuras rekeningnya wkwk;positif
cokk masuk ciledug ada etilang anyg;positif
Tabe apakah jamet ini sdh ditangkap Skrg kan lbh gampang lg krn sdh ada ETilang di jalan2 itu;positif
bahkan dendanya lebih mahal dr denda etilang gue kemarin;positif
santai sekarang etilang;negatif
Suka kasian sama driver yg dapet penumpang gini Pas kena etilang apa bisa direimburse ke gojeknya;positif
Yen Pemdane niat resik sih parkir tempat wisata digawe iso bayar via online Macam etilang bayar tilang via aplikasi resmi Tarif jelas laporan jelas duit masuk kemana juga jelas;positif
apakah ada yang pernah dapet surat etilang Itu dikirim kemana ya;positif
ngurus etilang;negatif
mjb sebelumny dpt sms etilang ga kak;positif
ohh okee makasih ya dah jawab btw aku mau nanya lg huhu no register slip biruku kok belum ada di etilang ya apa harus nunggu dulu;positif
aku kira juga gak segitu kak kemaren cek di situs etilang juga 200 karena aku maalas ribet nganterin stnk yg ditahan jadi aku lgsg ke kejaksaan di surat tilang kan juga ada nomor untuk pembayaran lewat mbankingnya tergantung pelanggaran nya juga sih;positif
stnk motornya disita ga adek km di etilang atau tilang langsung slip biru;positif
Lampu merah berhenti dl takut kena etilang;positif
ngelewatin etilang lenteng agung sambil dadah dadah alias kameranya ngejepret terus di red carpet anjir;positif
Dlu kena etilang surat tilang nya di kirim ke rumah;positif
etilang itu berbentuk surat yang dikirim langsung ke alamat stnk;positif
jangan dibuka itu penipuan kalo kena etilang biasanya dikirim surat kerumah soalnya aku pernah;positif
Awas malware gaes tidak seperti etilang;positif
kalo kena etilang tuh biasanya dapet surat yang di kirim langsung ke rumah;positif
kalo etilang dikasi surat cinta ke rumah;positif
aku sering kena etilang di kirim nya surat langsung ke rumah;positif
Etilang harusnya surat dateng ke rumah nder bukan pesan wa wkwkwk;positif
w wkt itu kena tilang dikirim lewat sms nama pengirimnya etilang langsung ya bukan nomor tlp dan amp ada no reg tilangnya masukin di web etilang biar u tau salahnya apa terus nominal dendanya brp;positif
INI GMN CARA BAYAR ETILANG YAAAK UDAH KELEWAT 10 HARI WKWKWKWKWKWK;positif
Langsung ingat saat dulu ketilang pak polnya gak mau bayar tilang via etilang maunya tunai;positif
Ini orang ciledug pada ga tau ada etilang apa gmn dah kok pada gak pake helm;positif
Mau dapatin nomor blanko etilang darimana ya Soalnya gk dikirimin surat etilang;positif
Pengendara mobil salah mungkin blind spot Tp itu traffic light nya berfungsi tidak mati Sbg pembelajaran ke depan mungkin bertugasnya bisa agak menepi atau di pos jika nya berfungsi karena semua sudah diotomatisasi dan jika melanggarpun sudah ada etilang;positif
ya semoga kedepannya bisa berbenah seperti contohnya dari satuan lalu lintas yang pelanpelan berubah dan meninggalkan praktik korupsi dengan adanya etilang dan semoga anggaran polri pelanpelan dimanfaatkan untuk pengadaan body cam yang bisa dipakai untuk petugas yang berdinas;positif
Wkwk lupa pake safety belt Bakal kena charge etilang;positif
bedain macet di indo sama disana diindo mungkin saja bisa diterapkan tapi hanya di jalan tol kalo jalan nasional gk mungkin banyak moror angkot dan sbb Gak mudah nertibin mereka walau pake etilang sekalipun;positif
Karena gapake jam tangan gua lupa klo skrg gw masuk lebih cepet dari jadwal akhirnya motor gw terabas tuh simpang semanggi pas sampe kantor baru ngeuh lah anj baru jam 2140 Hehe wassalam dah ini klo ada etilang;positif
Dishub RASIA Perlu di ganti dengan dishub etilang Mengurangi anggaran apbn;positif
bakal lucu bgt klo difoto sama camera etilang;positif
alah etilang kembali lagi;positif
selalu kaget tiap lwt dpn plaza pdhl sdh tau klo itu flash etilang tp ttp aja kgtaplg hujan gni kirain petir;positif
Itukan abis ditempel di foto Sekarang kan ada etilang ya kalo gak dibayar tinggal numpuk aja sama bayar perpanjang nanti gak dibayar sekalian pajaknya Ya kalo masih keliaran tuh mobil tinggal nunggu dikandangin aja;positif
emang ajg sekarang ada etilang bangsat pantes ga ada polisi lagi di lampu merah ringroad;positif
Biyen tau bapak entuk surat etilang dadakno wong ngaggo plat bodong disanggah kok motor e bedo;negatif
aaa kena etilang;positif
p info dapet foto hasil etilang dmn ya soalnya aku suka berpose kalo flash etilang nyala kan mayan buat post ig kalo bagus;positif
kalo dari etilang gaada apa apa di cctv van;positif
Kamera etilang tuh sejernih ini ya Latihan tertib seatbelt aja deh yg sering jalan  Pelanggaran atau denda nya gak seberapa rumah tangga atau hubungan keancam Gambar hanya ilustrasi;positif
Bang itu kena etilang nya pas dmn;positif
astagaaaa lucu bgtt lagi couplean pp dari etilang;positif
lucu bgt pp kapelan pke foto dr etilang;positif
Dipotoin kepin Dipotoin etilang;positif
Gpp gejolak kawula muda yg penting pala satunya ga kena foto etilang;positif
Lu kena etilang pas lagi gituan wkwkwkwk;positif
wih giliran cctv etilang jernih banget kalau ada kasus ntar burem atau mati wkwk disby kalau ada ginian mah panen rambu doang traffice light ini diawasi cctv tapi gak ngefek karena banyak yg nrobos dan lawan arus wkwk;positif
kode pembayaran dan nominal etilang udah keluar setelah 3 minggu nunggu kepastian dahlah pertama dan terakhir di tilang  kapoook;positif
etilang wkkw;negatif
emang lampu merah undip udh ada etilang nya;positif
bisa lgsg etilang nih pakpol ada plat nomornya TMCPoldaMetro;positif
mending kena tilang polzi langsung drpda etilang gini;positif
Harusnya polisi standby ditempat buat nyatetin nopol terus dapet surat cintah onlen atau taroh kamera etilang aja sih dijalur lambat;positif
Platform pengaduan etilang jika tilang approved yang lapor dapet komisi 40% dari nilai denda tilang yang diterima negara;positif
etilang ini tidak hrus sidang  tapi katanya mau di hapus lagi etilang ya;positif
Lah lenteng agung sekarang ada juga apa gmn Kok dari depan UP udh ada etilang Ada yang tau;positif
bisa kali ditilang anggap anggap saja ini etilang Biar ada efek jera;positif
Dulu pas ketilang aja saya sampai jelasin prosedur bayar transfer tilang via etilang Padahal ada di website etilang;positif
aku gatau daerah marka gaboleh dilanggar soale gak ada sosialisasi alhasil aku kena etilang;positif
Pertama dan terakhir wes kena etilang;positif
Mjb bang ini etilang mobil apa motor Dendanya kena brp ya;positif
Wah terlihat didepan ace pangpol udah ada kamera etilang dan udah kedap kedip nyala nih;negatif
hati hati siapa tau waktu etilang sama yang lain;positif
jangan normalisasi kebiasaan di kita nih menormalisasi yg jelas salah dan sudah ada aturannya yg dia lakukan kan paling minimal bisa bantu untuk kesadaran dan ketertiban semuadgn foto2 dan lapor kyk etilang citizenship ini;positif
WOIIII gua baru tau skrg di budi luhur ada kamera Etilang anyingggg wkwkwk;positif
Tambah di jakkita fitur gamification cepuin pelanggar gini Tiap cepu an yg jadi etilang jadi bonus buat kita 25%aja mayan kan TMCPoldaMetro;positif
Kenapa gk pasang etilang aja ya di jalur TJ;positif
beliau jelasin etilang di malang gw hanya oalah iya haha GAK DENGER PAK GW DEWASA INI SUNGGUHLAH SANGAT BUDEG;positif
Udh pernah bbrp kali dpt wa model macam ada yg disuruh ngelike trus dpt duit itusmpe bbrp kli spam terakhir ada wa dr mabes polri kena etilangklo ga dibayar bakal dilaporin;positif
ada itu baru semingguan dipasang kamera etilang sampe lampu flashnya bikin silau mata tapi tetep aja masih pada bandel lawan arah;positif
Plat ada wajah jelas Tinggal di kasih etilang Atau di blokir stnk nya;negatif
Etilang kn ada duitny mbah kalo cetak ulang ktp kn g ada duitnya yg ada boncos;negatif
Diatas jam 11 malem aman di bawah itu gak bisa Dari kamera etilang msh jalan ataupun beberapa polisi kadang muter atau nongki pinggir jalan Ini pyur pengalamanku yg sering keluyuran malam motoran wkwk;positif
Gw td keluar bermotor sm temen terus gw lg liat langit ke atas gw lupa kl didepan gw ada etilang dan rasanya mau buta mata gw;positif
Rasido etilang berati xixixi;negatif
ini lhoh bilang e ada kamera giliran gini ga langsung ada laporan dari pemantau ke lapangan malah pilih Etilang apaan;positif
Kadang tuh egois kadang juga etilang sama e commerce;positif
ini gua bru cek di etilang doang sih masa ampe 1 jt njing pdhal kesalahanny gada sim doang;positif
Tumben orang2 pda tertib eh ternyata ada pak pulici lg cekrek2 etilang;positif
Enggaa bil cek di web etilang;positif
Kyk e kae pernah trus ganti manual maneh Mbuh lek saiki wes balek gae etilang maneh;positif
penyiraman hanya solusi sementara yang utama adalah tekan polusi dengan cara  sterilisasi busway  galakkan etilang dg kamera apasaja termasuk cctv bis transjkt  kantong parkir murah meriah di sekitar halte atau stasiun  GAGE 24 jam  patroli cerobong industri dimalam hari;positif
Ngurus etilang gampang kok Ga harus ke kejaksaan aku kemarin juga abis ngurus etilang bapak aku wkwkwk;positif
Apakah POLISI sudah malas ngurusi beginian karena sistemnya eTilang;positif
solunya sudah tau dan sudah pernah dijalankan namun berubah saat pergantian peminpin  sterilisasi bus way  manfatkan berbagai sumber untuk etilangkamera halte bis petugas petugas yg menyamar jalan dll selama bisa dipertanggung jawabkan kebenarannya kantong parkir murah;positif
Kalian pernah kena Etilang ga Bayarnya berapa dan karena apa;positif
Kena ETILANG karena ada masalah di lampu merah kena denda berapa ya Ada yg pernah Plis aku gtw kalau ga boleh belok dan harus lurus terus;positif
Pasang cctv pak berlakukan etilang;positif
Ini pemotor bodoh dan polisi nya juga pada bodoh ada teknologi kok ga di pakepasang etilang kan selesai;positif
Si halo dek rasa coklat ini katanya mau pasang sistem etilang disekitar lokasi situ krn msh banyak yg lawan arus;positif
etilang kok kayaknya ga ada ngaruhnya yakalo berulang2 gitu mestinya udah kena tilang berkali2 dan kalo berkali2 kena tilang mestinya diblacklist ga boleh punya sim lagi paling ga untuk waktu tertentu;positif
Ada ati2 aja sekitar tanjakan pertigaan lampu merah depan masjid kampus pernah kena etilang gara2 lewatin marka;positif
dips di area tembalang ada etilang ga si;positif
mau nebeng chanyeol takut kena etilang ka;positif
Ini dpt notif kita kena etilang dimana;negatif
itu BUKAN UrusanMu kalau kau kurang Kerjaan Foto platnya biar POLISI yg nilang GAK USAH SOK2 SUCI BERKEDOK Uang Adsense Youtube KAU M0NYETTT Pasang Kamera ETILANG SELESAI MASALAH MACAM KAU GAK PERNAH LAWAN ARAH AJA 4NJEENGGGG;positif
Mobil temen ditabrak tipis sama bocah umur 5 tahun orantuanya diminta ganti rugi 300ribu per panel Padahal lecetnya sedikit banget Seminggu kemudian temen dapet notif etilang gage 500ribu Pfftt Karma is real;positif
Oknuk banyak 62 ini harus tetap ada tindakan tilang langsungngakpeduli etilang karena motor bukan atas namanya dan pajak mati biasanya;positif
banyaknya yg lawan arus lalin di jl pesut sungai dama ni yaa pak mungkin klo ada etilang bnyak ketangkap ini;negatif
anjir lah keknya yg eaktu itu gua pasti kena etilang anjir GAHAHA;positif
elamat malam pak saya ingin bertanya saya ketilang kemarin saya cek di website etilang datanya sudah keluar kalau saya bayar denda dengan transfer apakah langsung bisa di ambil sitaan STNK tanpa menunggu tanggal sidang;positif
Selamat malam pak saya ingin bertanya saya ketilang kemarin saya cek di website etilang datanya sudah keluar kalau saya bayar denda dengan transfer apakah langsung bisa di ambil sitaan STNK tanpa menunggu tanggal sidang;negatif
kalau sudah konfirmasi etilang tp pas bayar tidak bisa dan skr sudah lewat jadwal sidang harus bagaimana;positif
Kalo ada ge fokus ke tilang nya Lagian sekarang banyak nya juga dishub bukan polantas Polantas udh jarang sejak etilang Gk ada duit nya cape panas panasan;positif
ada yang pernah kena etilang Kalau ga dapet email sama sms gimana yaa;positif
Nongki ama teman polkis semenjak pake etilang mereka malah malas buat nindak pelanggaran dijalan klo gak kecelakaan ya biaran aja coz gak ada duitnya juga;positif
jujur gausah buat sim kalo lu gapernah riding jauh kalo dlam kota skrang banyakan etilang;positif
hrusnya minta etilang ajaa;positif
udah stress tbtb dapet surat etilang dikirim kerumah;positif
Ini ditindakan eTilang gak Saya jepret hari ini jam 1411 B 2676 SIO putar balik di pertigaan Tendean  Woltermonginsidi Bukti ini sdh jelas bikin macet jalur Tendean arah Blok M;negatif
Resiko telat bayar Etilang opo lekk;positif
Siapa yg pagi pagi dah kena etilangï;positif
Siang Cara cek ETilang Online link web nya yg mana yah Sy coba masukkan no Register tidak diketemukan Terimakasih;positif
Ga keren banget kena etilang di tankus;positif
ini kenapa no saya dapat etilang Pdhl saya ga lg bawa kendaraan Pas saya cek website nya lokasi di Pandeglang saya di Jakarta Kok bisa dpt etilang terus pakai nomor hp org lain dlm kasus ini nomor saya Di web pdhl no tdk punya loh Tolong dijelaskan dong;positif
Semenjak etilang loba knalpot gandeng boss mending tilang manual;positif
Terus nek ngono etilang berlaku ora pak misal buka dalan Wkwkwk;positif
Skrg kalo beli kendaraan seken pastikan clear atau bersih ga ada etilang nyangkut;negatif
1 pasar tuh kalau sidang 49k kalau 2 pasal masih kisaran dibawah 100k Se etilang etilang pun bisa bayar pakai briva Itu juga gak bakal denda maksimal;positif
eh kok nomer surat tilang gue dicari di etilang atau kejari gaada yaaaa;positif
oh Aku dikenai etilang kok jadi langsung masuk sistem but interesting you said this because all tilang revenues go straight to the ministry of finance dan tidak bisa dikelola kepolisian atau pengadilan atau kejaksaan BUT STILL SUCKS ASS;positif
Udah balik ke etilang aja  kan udah beli alat mahal2;positif
Alasan diberlakukan etilang dlu apa ya;positif
Etilang gaguna soalnya wkkw;positif
gw juga pernah kena tilang pas masuk jalur busway di permata hijau gw kasi aja tu stnk nya karena posisi juga panik trus tak cek aja di etilang nomer tilangnya yang ditulis disitu nunggu seminggu habis itu datang ke kejaksaan ngantri ambil tilangan bayar abis itu balik;positif
Mungkin adanya Etilang pendapatan berkurang untuk beli bensindan amp rokok;positif
Emang belon bisa kita pake etilang kebanyakan yang seenak2nye aje kemaren ada yg goncengan di sudirman juga kagak pake helm Emang pade kayak kamprreet;positif
Tentu demi menjaga ketertiban lalu litas tak masalah namun kalau mau kembali ke siatem lama bukanya penting sistem etilang dievaluasi Bagaimana anggaran digelontorkan dan berakhir dinilai tidak efektif Apakah negara akan melanggengkan impunitas;positif
pasang etilang mu kawan;positif
Kayaknya benar ini di berlakukan lg karena persis kemarin di Sudirman mobil yg melanggar ganjil genap pada di berhentiin Tapi timbul pertanyaan di kepala gw itu kan di Sudirman etilang ko pada di berhentiin mobil emang etilang nya sebenarnya ga berfungsi ya;positif
etilang ku kira cuman yg kek lampu diatas kedip itu ternyata bisa lewat polisi trs ngefoto pake hp njir pernah motor mamaku yg udh dijual trs dapet surat etilang karna waktu itu belom ganti nama stnknya mana sama mamaku dikira bapak selingkuh soalnya fotonya bonceng cewe;positif
sejak diterapin etilang banyak yg copot plat kaya bagini nih;positif
Mau tilang manual mau etilang ga ngefek sih soalnya saya tertip Tapi udah tertip masih juga diseruduk orang indong primitif Jancuk;positif
etilang aja pak presiden;positif
Banyak yg ngakalin etilang bang Gedek bat gw;positif
Tilang manual ini hendaknya buat penertiban supaya etilang bisa berfungsi dengan baik;positif
Untuk di Bangka Barat atau nasional Apa mentang2 etilang jd kada ada yg nongol di pos atau perempatan;positif
Ekatalog biar gampang nyebutnya ekat kalo etilang berarti etil;positif
Satlantas Polresta Pekanbaru Berlakukan Etilang;positif
Plis segera ditangani kak hub cs yg berkaitan dng keuangan dan aplikasi Semoga bisa dtangani dan cepat teratasi ya ka modusnya bnyk bngt dr bnk undangan paket dan yg baru2 ini etilang Jgn sembarangan ngeklik link apk mereka mirroring lwt apk itu ke hape;positif
Jgn lupa seat belt tong biar g kena Etilang;positif
main main ke cikarang pak pleaseeee jalan rusak rusak lampu jalan hampir gk ada truk dan amp bus ngetem ngasal pak pol habis kebijakan etilang gak pernah kliatn lagi di pos  atau  jalanan pdahal dlu jam plg kantor udah standby aja;positif
Pada gak make helm panen etilang gak nih;positif
Pakai seatbelt supaya aman dari etilang;positif
eh btw gw ngerantau dan motor gw bawa klo misal gw kena etilang nnti suratny di kirim ke rmh gw juga;negatif
Denda etilang motor karena nerobos lampu merah berapa ya;positif
Etilang konfirmasi maksimal 7hari sedangkan suratnya baru nyampe sekarangStatus terblokir Minimal pake kurir instan aja pak gojekin tar ongkirnya gua yg bayar;positif
Ini kalo kena etilang yang bayar pribadi apa instansi pake uang rakyat ya Secara plat nya RF;negatif
Sangking ga pernah keluar ke arah sana gua kaget ada etilang ternyata di rangkas pantesan banyak yg pake helm 2 gua pikir kan mereka yg baru mudik ternyata kaga jangankan etilang yg aga jauh dr rmh ga tau di jalan rumah aja gua suka kaget klo sekali keluar ko beda wkwkw;positif
Ijin curhat pak Kekantor lewati CCTV Bidakara Semula tdk yakin ini melanggar gage krn toh hanya kl 300m Apalagi tdk pernah dapat eTilang kerumah Astaga ternyata diblokir Dan ada 22x pelanggaran Habis pensiunku pertama hanya untuk bayar eTilang;positif
paling disuruh keluar tol nu kalau emang ga kena etilang mungkin banyak kurangnya juga karna baru di coba tahun ini nuu kalau ga sesuai realisasi jadi mohon dimaklumi yaa;positif
Tapi kan masuk tolnya sebelum itu berlaku tung kena juga masa Misal tanggal genap start ganjil genap di karawang barat jam 2 siang Dan plat gua ganjil tp jam 2 siang gua udah ngelewatin karawang barat posisinya masa kena etilang jg;negatif
kena etilang;positif
dapet etilang terakhir konfirmasi tangal 25 feb surat datang tanggal 4 maret kejadian di foto hari minggu di surah di tulis hari jumat mana fotonya gak ada timestampnya lagi ini foto dari petugas yang diem diem;positif
Sama Mas Sy ga terima email or sms or surat Alasannya alamat rumah sy perumahan baru Posnya ga sampe Baru tau ada etilang pas mau perpanjang STNK Jd skalian aja bayar di Samsat Ambil kembalian tilangnya di BRI stlh tgl sidang;positif
Skrg ga pernah liat razia deh bukanya Etilang adanya;positif
Nggak takut dpt surat cinta dri etilang apa ya;positif
jangan ajak pergi sy bangkrut hbs bayar etilang;positif
Setau gue kan sejak ada etilang sipoli udh gabole tilang manual lagi kan Eh td kena lah gue di semanggi tu gue blg tilang aja gpp pake diancem baru bisa diambil 3bulan lagi lah nyari2 kesalahan gue dikata gue lg telfonan disuruh buka hpnya apa ada telfon aktif apa ngga c;positif
Waaah syukurlah Tinggal nunggu brivanya aja berati ini Makasih ya infonya pertama kali bgt kena etilang;positif
Kena etilang ya Allah kocak bgt ini berapa dah dendanya;positif
Sumpah ini mata perih garagara lampu etilang;positif
Awas kena etilang;positif
Udah di ganti etilang kak Isilop nya ngopi aja di kantor;positif
Analisa gw kok kayaknya gara2 sekarang etilang polisi males turun ke jalan Perampok jadi semangat turun ke jalan;positif
dah ada etilang ntar babu yang ngurus tilangannya;positif
besok sidang etilang eheh mon maap gw ga pernah itu gimana caranyaaaaaah;positif
jaman kuliah gue dulu ni pulisyi dimana mana untuk kawasan gage ini pada kemana woyyyy etilang juga kan gaada kamera di sini;positif
Klo bangun nanti foto orang lewat disitu trus upload di etilang;positif
