No;Fulltext;Status
1;@kodehampa @LullabyMirai @BaseBDG Cctv etilang dimananya teh?;
2;siap nerobos etilang https://t.co/gCgnvlmEcC;
3;@DivHumas_Polri Ok infonya tapi kurang jelas Jam berapa mulai ganjil jam berapa mulai genap. Kok tiba2 dapet surat ETIlang wkwkkwkwk kasih tau dulu lah biar kita macetkan pantura saja kalo ada ganjil genap :));
4;@Agus92177347 @vanc1Bozz @jokowi Mgkin kenaikan pajak atw ad denda etilang;
5;Eh trs pake etilang wkwkwk buset org mudik dirampok juga (maaf bgt gue emosi);
6;Ribet bgt ngurus etilang;
7;@unnesmenfess Sekarang aja si tp tiati di perempatan Asalamah sama bangjo alun alun lama ada cctv etilang. Mending pake helm kata gwej teh.;
8;@wai_xc Apalagi semenjak ada etilang kan hahaha;
9;ada yang pernah kena etilang tapi salah gak;
10;@bobbyakyong Ga komplen bang kena etilang tapi gak ada suratnya kerumah?;
11;@bobbyakyong Khusus jakarta ya app nya saya bukan di jakarta. Itu di app nya ada keteranganny mas kalau terblokir karna etilang?;
12;@newsouthwoless Usahakan jalan di sudirman sampai kefoto etilang;
13;@missjuwita Dirimu dari arah mana juju ??? Perasaan etilang wes sui g diberlakukan loh;
14;@txtdarionlshop Ngga bisa pake seatbelt itu woyy.. Kalau kejepret eTilang gimana???;
15;hidup lagi seru serunya diingetin harus bayar etilang;
16;@mohmahfudmd Udah keliatan kok pak dari dulu penegakan hukum emang kurang contohnya buang sampah sembarangan penerapan etilang bukannya pengendaranya jadi tertib malah plat nomornya pada diganti â€�;
17;@__PASMANTAP antrian itu akibat dari hukum yang berlaku. antrian tak hanya berkendara tapi dalam banyak hal. selama bisa menyuap maka antrian tak berlaku. andaisemua motor di indonesia berbaris dijalur mobil seberapa panjang kemacetan? etilang saja nggak berlaku buktinya banyak penerobos;
18;@sdnarm Jgn... Nyusahin mobil ceper dan bis low deck itu. Kan nggak 24/7 orang nyebrang jalan. Gw lebih seneng biaya parkir naik 10x lipat etilang dibanyakin dan dendanya buat 4x lipat. Ujian SIM dibenahin.;
19;ngecek etilang gimana weh muter mulu https://t.co/dpOA6knZHF;
20;@TMCPoldaMetro cara cek etilang bagaimana ya ?;
21;@uminosaurus Etilang sudah berlaku dg mobil incar tonggoku wes akeh sing kenek ndek gang cidek omah wkwkw Kalo kamera yg menetap sudah ada di bbrp titik;
22;@TfJakarta tiru yg begini nih bukan malah ngasih kerjaan orang jagain jalur TJ buka tutup portal doang. Kasih Etilang disetiap palang jalur TJ lampu merah semua muanya dah;
23;@seuyghan Etilang say hello ntr;
24;@chandsquirt Ati2 kena etilang.. 500k lumayan;
25;batu bgt dah ada etilang tp kagapernah pake helm ((((gw))));
26;@TMCPoldaMetro Min klo plat palsu gitu dipakai orang lain melanggar lalulintas lalu kena etilang. yang punya plat asli apa kabarnya ya min? Apa yg kena tilang nantinya adalah yang punya plat asli? Berarti tilang elektronik salah sasaran dong? Mohon dijawab. Thanks;
27;@alwaysNangis2 @Schultzz07 @tirta_cipeng nerobos jalur busway disitu jadi angkutan umum juga mandet. solusi buat saat ini yg dilakuin? disitu udah ada etilang sih (baru-baru aja). btw gua juga bukan pendukung 01 gua golput dari beberapa periode tapi gua amaze aja sama yang dia lakuin daripada milih anak nepotisme. thx;
28;Biasanya buat ngakalin ganjil genap tpi yg ini agak laen memang. Genap Genap mungkin buat ngakalin etilang.;
29;@zeeftw Wkwk kalo gue dulu itu kena etilang dat jadi tetiba ada surat aja dateng ke rumah hhaha;
30;@coffeeXliqueur @alafrahalaf enaknya di kirimin apk etilang sih biar terkuras rekeningnya wkwk;
31;cokk masuk ciledug ada etilang anyg;
32;@feedemady Tabe @PolrestabesMKS apakah jamet ini sdh ditangkap?. Skrg kan lbh gampang lg krn sdh ada ETilang di jalan2 itu;
33;bahkan dendanya lebih mahal dr denda etilang gue kmrnâ€�;
34;@sunigchan santai sekarang etilang;
35;@tanyarlfes Suka kasian sama driver yg dapet penumpang gini. Pas kena etilang apa bisa direimburse ke gojeknya?;
36;@merapi_uncover Yen Pemdane niat resik sih parkir tempat wisata digawe iso bayar via online. Macam etilang bayar tilang via aplikasi resmi. Tarif jelas laporan jelas duit masuk kemana juga jelas.;
37;-rl Hi guys apakah ada yang pernah dapet surat etilang? Itu dikirim kemana ya?;
38;Otw ngurus etilang https://t.co/dT2qCvLfWf;
39;@doublwyouu mjb sebelumny dpt sms etilang ga kak??;
